index,img_path,mask_path,dice
75,Dataset_BUSI_with_GT\benign\benign (134).png,Dataset_BUSI_with_GT\benign\benign (134)_mask.png,0.8732802317098243
61,Dataset_BUSI_with_GT\malignant\malignant (162).png,Dataset_BUSI_with_GT\malignant\malignant (162)_mask.png,0.8756531939851275
21,Dataset_BUSI_with_GT\benign\benign (156).png,Dataset_BUSI_with_GT\benign\benign (156)_mask.png,0.8756756756725201
31,Dataset_BUSI_with_GT\benign\benign (149).png,Dataset_BUSI_with_GT\benign\benign (149)_mask.png,0.8836638724169216
84,Dataset_BUSI_with_GT\benign\benign (38).png,Dataset_BUSI_with_GT\benign\benign (38)_mask.png,0.8839152491767117
78,Dataset_BUSI_with_GT\benign\benign (104).png,Dataset_BUSI_with_GT\benign\benign (104)_mask.png,0.8864864864796411
62,Dataset_BUSI_with_GT\benign\benign (190).png,Dataset_BUSI_with_GT\benign\benign (190)_mask.png,0.8865183840211177
54,Dataset_BUSI_with_GT\benign\benign (126).png,Dataset_BUSI_with_GT\benign\benign (126)_mask.png,0.8885172798166749
57,Dataset_BUSI_with_GT\benign\benign (92).png,Dataset_BUSI_with_GT\benign\benign (92)merged_mask.png,0.8897468897459354
92,Dataset_BUSI_with_GT\benign\benign (136).png,Dataset_BUSI_with_GT\benign\benign (136)_mask.png,0.890968443958888
20,Dataset_BUSI_with_GT\benign\benign (405).png,Dataset_BUSI_with_GT\benign\benign (405)_mask.png,0.8920996157107122
90,Dataset_BUSI_with_GT\benign\benign (198).png,Dataset_BUSI_with_GT\benign\benign (198)_mask.png,0.9016904882820128
85,Dataset_BUSI_with_GT\benign\benign (409).png,Dataset_BUSI_with_GT\benign\benign (409)_mask.png,0.9037037037035248
65,Dataset_BUSI_with_GT\benign\benign (37).png,Dataset_BUSI_with_GT\benign\benign (37)_mask.png,0.9047210300390356
38,Dataset_BUSI_with_GT\benign\benign (289).png,Dataset_BUSI_with_GT\benign\benign (289)_mask.png,0.9049767661115866
83,Dataset_BUSI_with_GT\malignant\malignant (28).png,Dataset_BUSI_with_GT\malignant\malignant (28)_mask.png,0.9050431621969445
12,Dataset_BUSI_with_GT\benign\benign (323).png,Dataset_BUSI_with_GT\benign\benign (323)_mask.png,0.9084696119089372
27,Dataset_BUSI_with_GT\benign\benign (368).png,Dataset_BUSI_with_GT\benign\benign (368)_mask.png,0.911328266373828
33,Dataset_BUSI_with_GT\malignant\malignant (135).png,Dataset_BUSI_with_GT\malignant\malignant (135)_mask.png,0.9168765743063809
58,Dataset_BUSI_with_GT\benign\benign (139).png,Dataset_BUSI_with_GT\benign\benign (139)_mask.png,0.9178349600693562
23,Dataset_BUSI_with_GT\benign\benign (148).png,Dataset_BUSI_with_GT\benign\benign (148)_mask.png,0.9194915254222303
91,Dataset_BUSI_with_GT\benign\benign (232).png,Dataset_BUSI_with_GT\benign\benign (232)_mask.png,0.925423516908842
8,Dataset_BUSI_with_GT\benign\benign (307).png,Dataset_BUSI_with_GT\benign\benign (307)_mask.png,0.9265070189900179
43,Dataset_BUSI_with_GT\benign\benign (168).png,Dataset_BUSI_with_GT\benign\benign (168)_mask.png,0.9316601149063628
74,Dataset_BUSI_with_GT\benign\benign (296).png,Dataset_BUSI_with_GT\benign\benign (296)_mask.png,0.9339509536779651
16,Dataset_BUSI_with_GT\benign\benign (425).png,Dataset_BUSI_with_GT\benign\benign (425)_mask.png,0.936170212762463
29,Dataset_BUSI_with_GT\benign\benign (127).png,Dataset_BUSI_with_GT\benign\benign (127)_mask.png,0.939045936391612
2,Dataset_BUSI_with_GT\benign\benign (9).png,Dataset_BUSI_with_GT\benign\benign (9)_mask.png,0.9410469033422252
70,Dataset_BUSI_with_GT\benign\benign (158).png,Dataset_BUSI_with_GT\benign\benign (158)_mask.png,0.9411384217329984
87,Dataset_BUSI_with_GT\benign\benign (330).png,Dataset_BUSI_with_GT\benign\benign (330)_mask.png,0.9424089281949134
60,Dataset_BUSI_with_GT\benign\benign (17).png,Dataset_BUSI_with_GT\benign\benign (17)_mask.png,0.9536723163805888
49,Dataset_BUSI_with_GT\benign\benign (99).png,Dataset_BUSI_with_GT\benign\benign (99)_mask.png,0.9549580407587687
