epoch,train_loss,val_dice,val_iou,val_accuracy,val_sensitivity,val_specificity,val_hd95_mean
86,0.471944,0.700984,0.539626,0.924905,0.887254,0.929052,76.572797
87,0.495663,0.704904,0.544287,0.927022,0.878583,0.932357,73.567727
88,0.477949,0.707341,0.547198,0.927426,0.884043,0.932204,75.700467
89,0.475346,0.695240,0.532849,0.922389,0.892324,0.925700,75.106749
90,0.492178,0.704438,0.543731,0.926438,0.883629,0.931153,75.268223
91,0.465517,0.697057,0.534986,0.923224,0.890346,0.926845,78.653817
92,0.474123,0.700747,0.539346,0.924749,0.888089,0.928787,75.077951
93,0.485006,0.704305,0.543573,0.926259,0.885213,0.930780,76.137554
94,0.466158,0.693757,0.531108,0.921569,0.895478,0.924442,79.150467
95,0.471445,0.702339,0.541235,0.925464,0.886377,0.929768,75.253855
96,0.475303,0.687696,0.524038,0.919264,0.896003,0.921826,76.632957
97,0.494010,0.708941,0.549116,0.928468,0.878117,0.934014,73.372547
98,0.479275,0.699704,0.538111,0.924332,0.888589,0.928269,75.596486
99,0.466706,0.701596,0.540353,0.925404,0.883944,0.929970,73.700219
100,0.497074,0.691511,0.528481,0.920767,0.895136,0.923590,78.226548
